"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","2_18a_D1_PROKKA_07032020","2_18b_A4_PROKKA_07032020","2_18b_D1_PROKKA_07032020","2_18b_D3_PROKKA_07032020","3_18a_D6_PROKKA_07032020","3_18b_C5_PROKKA_07132020","3_18b_D5_PROKKA_07132020","3_18c_C3_PROKKA_07142020","O_acuminata_ref_PROKKA_04122021"
"group_2194","","hypothetical protein","9","9","1","1","15921","","","","1349","1349","1349","ACMNIIJE_04378","KBJLFPIH_02537","OLBDELFK_01276","FIJMHGMP_04753","AMABMDDH_04700","AKMBOJBH_04617","LNNPAFAO_04526","EOJAOBGC_04158","CPEPOGAB_05610"
"ychF","","Ribosome-binding ATPase YchF","9","9","1","1","15926","","","","1091","1091","1091","ACMNIIJE_04379","KBJLFPIH_02538","OLBDELFK_01275","FIJMHGMP_04752","AMABMDDH_04699","AKMBOJBH_04618","LNNPAFAO_04527","EOJAOBGC_04157","CPEPOGAB_05611"
"group_2200","","Magnesium transporter MgtE","9","9","1","1","10958","","","","1400","1400","1400","ACMNIIJE_04455","KBJLFPIH_00862","OLBDELFK_03050","FIJMHGMP_01486","AMABMDDH_04938","AKMBOJBH_01779","LNNPAFAO_00417","EOJAOBGC_00227","CPEPOGAB_03212"
"group_2201","","hypothetical protein","9","9","1","1","3683","","","","347","347","347","ACMNIIJE_04463","KBJLFPIH_03429","OLBDELFK_03621","FIJMHGMP_02597","AMABMDDH_01146","AKMBOJBH_00830","LNNPAFAO_01198","EOJAOBGC_03074","CPEPOGAB_05211"
"group_2202","","hypothetical protein","9","9","1","1","3671","","","","221","221","221","ACMNIIJE_04468","KBJLFPIH_03424","OLBDELFK_03616","FIJMHGMP_02592","AMABMDDH_01151","AKMBOJBH_00835","LNNPAFAO_01203","EOJAOBGC_03079","CPEPOGAB_05206"
"group_2204","","Phage shock protein A ","9","9","1","1","3600","","","","764","764","764","ACMNIIJE_04491","KBJLFPIH_03564","OLBDELFK_03594","FIJMHGMP_02569","AMABMDDH_01175","AKMBOJBH_00859","LNNPAFAO_01227","EOJAOBGC_03102","CPEPOGAB_05898"
"group_2205","","hypothetical protein","9","9","1","1","3580","","","","1235","1235","1235","ACMNIIJE_04497","KBJLFPIH_03570","OLBDELFK_03588","FIJMHGMP_02563","AMABMDDH_01182","AKMBOJBH_00867","LNNPAFAO_01234","EOJAOBGC_03109","CPEPOGAB_05905"
"group_2210","","hypothetical protein","9","9","1","1","11256","","","","377","377","377","ACMNIIJE_04553","KBJLFPIH_02215","OLBDELFK_00551","FIJMHGMP_03082","AMABMDDH_01305","AKMBOJBH_03093","LNNPAFAO_03345","EOJAOBGC_05211","CPEPOGAB_02420"
"fdm","","Formaldehyde dismutase","9","9","1","1","11214","","","","1166","1166","1166","ACMNIIJE_04568","KBJLFPIH_02230","OLBDELFK_00536","FIJMHGMP_03099","AMABMDDH_01320","AKMBOJBH_03110","LNNPAFAO_03330","EOJAOBGC_04677","CPEPOGAB_02436"
"hemH_1","","Ferrochelatase","9","9","1","1","11196","","","","1163","1163","1163","ACMNIIJE_04576","KBJLFPIH_02239","OLBDELFK_00527","FIJMHGMP_03107","AMABMDDH_01327","AKMBOJBH_03117","LNNPAFAO_03323","EOJAOBGC_04684","CPEPOGAB_02444"
"group_2219","","hypothetical protein","9","9","1","1","19170","","","","203","203","203","ACMNIIJE_04600","KBJLFPIH_04236","OLBDELFK_00307","FIJMHGMP_04293","AMABMDDH_05207","AKMBOJBH_02070","LNNPAFAO_03529","EOJAOBGC_04284","CPEPOGAB_00934"
"hoxY","","NAD-reducing hydrogenase HoxS subunit delta","9","9","1","1","17954","","","","548","548","548","ACMNIIJE_04643","KBJLFPIH_03904","OLBDELFK_01879","FIJMHGMP_03567","AMABMDDH_04047","AKMBOJBH_03466","LNNPAFAO_02868","EOJAOBGC_01249","CPEPOGAB_05877"
"hoxU","","NAD-reducing hydrogenase HoxS subunit gamma","9","9","1","1","17955","","","","716","770","728","ACMNIIJE_04644","KBJLFPIH_03905","OLBDELFK_01880","FIJMHGMP_03568","AMABMDDH_04046","AKMBOJBH_03467","LNNPAFAO_02869","EOJAOBGC_01248","CPEPOGAB_05876"
"rsxC","","hypothetical protein","9","9","1","1","17956","","","","1634","1634","1634","ACMNIIJE_04645","KBJLFPIH_03906","OLBDELFK_01881","FIJMHGMP_03569","AMABMDDH_04045","AKMBOJBH_03468","LNNPAFAO_02870","EOJAOBGC_01247","CPEPOGAB_05875"
"dnaA","","Chromosomal replication initiator protein DnaA","9","9","1","1","8137","","","","1376","1376","1376","ACMNIIJE_04722","KBJLFPIH_03459","OLBDELFK_03993","FIJMHGMP_02627","AMABMDDH_01115","AKMBOJBH_00800","LNNPAFAO_01168","EOJAOBGC_03044","CPEPOGAB_00001"
"murAA","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1","9","9","1","1","20466","","","","1241","1391","1312","ACMNIIJE_04807","KBJLFPIH_02023","OLBDELFK_02816","FIJMHGMP_01332","AMABMDDH_00080","AKMBOJBH_03249","LNNPAFAO_01861","EOJAOBGC_01363","CPEPOGAB_01652"
"tolB_9","","Tol-Pal system protein TolB","9","9","1","1","11515","","","","1181","1187","1184","ACMNIIJE_04845","KBJLFPIH_03979","OLBDELFK_03151","FIJMHGMP_04211","AMABMDDH_04089","AKMBOJBH_04388","LNNPAFAO_01847","EOJAOBGC_03999","CPEPOGAB_02622"
"group_2244","","hypothetical protein","9","9","1","1","11485","","","","842","842","842","ACMNIIJE_04859","KBJLFPIH_03988","OLBDELFK_03133","FIJMHGMP_04225","AMABMDDH_04531","AKMBOJBH_04371","LNNPAFAO_05160","EOJAOBGC_04016","CPEPOGAB_02579"
"tkt","","Transketolase","9","9","1","1","561","","","","2030","2030","2030","ACMNIIJE_04865","KBJLFPIH_03776","OLBDELFK_05144","FIJMHGMP_05194","AMABMDDH_04849","AKMBOJBH_02578","LNNPAFAO_01514","EOJAOBGC_00322","CPEPOGAB_03584"
"group_225","","hypothetical protein","9","9","1","1","5642","","","","584","587","585","ACMNIIJE_00598","KBJLFPIH_00613","OLBDELFK_03420","FIJMHGMP_01991","AMABMDDH_00913","AKMBOJBH_03953","LNNPAFAO_00854","EOJAOBGC_02981","CPEPOGAB_00441"
"group_2254","","putative protein","9","9","1","1","16734","","","","341","341","341","ACMNIIJE_04937","KBJLFPIH_03525","OLBDELFK_00932","FIJMHGMP_03833","AMABMDDH_01479","AKMBOJBH_02684","LNNPAFAO_04362","EOJAOBGC_05419","CPEPOGAB_04156"
"cysC","","putative adenylyl-sulfate kinase","9","9","1","1","1206","","","","536","536","536","ACMNIIJE_04975","KBJLFPIH_02322","OLBDELFK_00229","FIJMHGMP_04842","AMABMDDH_02979","AKMBOJBH_04332","LNNPAFAO_03438","EOJAOBGC_05363","CPEPOGAB_01329"
"group_226","","hypothetical protein","9","9","1","1","9503","","","","725","725","725","ACMNIIJE_00642","KBJLFPIH_02145","OLBDELFK_04459","FIJMHGMP_05070","AMABMDDH_03318","AKMBOJBH_02543","LNNPAFAO_01548","EOJAOBGC_00357","CPEPOGAB_03549"
"suhB_3","","Inositol-1-monophosphatase","9","9","1","1","1260","","","","827","827","827","ACMNIIJE_04989","KBJLFPIH_02306","OLBDELFK_00243","FIJMHGMP_04857","AMABMDDH_02993","AKMBOJBH_02007","LNNPAFAO_03466","EOJAOBGC_05340","CPEPOGAB_01343"
"argJ","","Arginine biosynthesis bifunctional protein ArgJ","9","9","1","1","6683","","","","1241","1241","1241","ACMNIIJE_05092","KBJLFPIH_04005","OLBDELFK_03115","FIJMHGMP_04243","AMABMDDH_04556","AKMBOJBH_04345","LNNPAFAO_05657","EOJAOBGC_04042","CPEPOGAB_02597"
"rpiA","","Ribose-5-phosphate isomerase A","9","9","1","1","19108","","","","698","803","709","ACMNIIJE_05127","KBJLFPIH_04262","OLBDELFK_00279","FIJMHGMP_04260","AMABMDDH_03028","AKMBOJBH_02042","LNNPAFAO_03499","EOJAOBGC_04313","CPEPOGAB_00905"
"pyrR","","Bifunctional protein PyrR","9","9","1","1","8998","","","","539","539","539","ACMNIIJE_05154","KBJLFPIH_01820","OLBDELFK_04414","FIJMHGMP_00422","AMABMDDH_02951","AKMBOJBH_01268","LNNPAFAO_05486","EOJAOBGC_03358","CPEPOGAB_04403"
"rtcB","","RNA-splicing ligase RtcB","9","9","1","1","17209","","","","1451","1451","1451","ACMNIIJE_05217","KBJLFPIH_02253","OLBDELFK_00512","FIJMHGMP_04006","AMABMDDH_01345","AKMBOJBH_03136","LNNPAFAO_03302","EOJAOBGC_04703","CPEPOGAB_02469"
"mprA_2","","Response regulator MprA","9","9","1","1","17776","","","","371","371","371","ACMNIIJE_05226","KBJLFPIH_01177","OLBDELFK_01500","FIJMHGMP_02419","AMABMDDH_01841","AKMBOJBH_01894","LNNPAFAO_00007","EOJAOBGC_04241","CPEPOGAB_00767"
"rnr_1","","Ribonuclease R","9","9","1","1","11836","","","","2405","2405","2405","ACMNIIJE_05273","KBJLFPIH_04921","OLBDELFK_03725","FIJMHGMP_01466","AMABMDDH_02252","AKMBOJBH_01761","LNNPAFAO_00398","EOJAOBGC_00244","CPEPOGAB_03251"
"glmS","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","9","9","1","1","570","","","","1907","1907","1907","ACMNIIJE_05284","KBJLFPIH_03771","OLBDELFK_05139","FIJMHGMP_04456","AMABMDDH_04854","AKMBOJBH_02583","LNNPAFAO_01509","EOJAOBGC_00317","CPEPOGAB_03579"
"rip3_2","","Putative zinc metalloprotease Rip3","9","9","1","1","583","","","","1130","1133","1131","ACMNIIJE_05297","KBJLFPIH_03761","OLBDELFK_05129","FIJMHGMP_04446","AMABMDDH_04868","AKMBOJBH_02595","LNNPAFAO_01495","EOJAOBGC_00305","CPEPOGAB_03564"
"sigA","","RNA polymerase sigma factor SigA","9","9","1","1","1968","","","","1163","1163","1163","ACMNIIJE_05324","KBJLFPIH_03273","OLBDELFK_01031","FIJMHGMP_04796","AMABMDDH_03456","AKMBOJBH_03336","LNNPAFAO_02192","EOJAOBGC_03979","CPEPOGAB_03876"
"group_230","","hypothetical protein","9","9","1","1","8286","","","","1040","1178","1162","ACMNIIJE_00703","KBJLFPIH_02091","OLBDELFK_04292","FIJMHGMP_05179","AMABMDDH_03591","AKMBOJBH_02954","LNNPAFAO_01620","EOJAOBGC_00439","CPEPOGAB_03461"
"group_2305","","hypothetical protein","9","9","1","1","8175","","","","2234","2234","2234","ACMNIIJE_05371","KBJLFPIH_03481","OLBDELFK_04013","FIJMHGMP_02647","AMABMDDH_01100","AKMBOJBH_00781","LNNPAFAO_01153","EOJAOBGC_03029","CPEPOGAB_00022"
"tuaD","","UDP-glucose 6-dehydrogenase TuaD","9","9","1","1","8184","","","","1379","1379","1379","ACMNIIJE_05379","KBJLFPIH_03489","OLBDELFK_04021","FIJMHGMP_02655","AMABMDDH_01092","AKMBOJBH_00773","LNNPAFAO_01145","EOJAOBGC_03021","CPEPOGAB_00030"
"group_231","","hypothetical protein","9","9","1","1","8277","","","","701","713","702","ACMNIIJE_00708","KBJLFPIH_02087","OLBDELFK_05006","FIJMHGMP_05175","AMABMDDH_03585","AKMBOJBH_02960","LNNPAFAO_01626","EOJAOBGC_00445","CPEPOGAB_03454"
"group_2310","","hypothetical protein","9","9","1","1","6406","","","","233","233","233","ACMNIIJE_05394","KBJLFPIH_03684","OLBDELFK_00629","FIJMHGMP_00307","AMABMDDH_04395","AKMBOJBH_04116","LNNPAFAO_04827","EOJAOBGC_04528","CPEPOGAB_04338"
"group_232","","hypothetical protein","9","9","1","1","8266","","","","842","851","846","ACMNIIJE_00717","KBJLFPIH_02079","OLBDELFK_04999","FIJMHGMP_05166","AMABMDDH_03576","AKMBOJBH_02968","LNNPAFAO_01635","EOJAOBGC_00454","CPEPOGAB_03447"
"group_233","","hypothetical protein","9","9","1","1","8259","","","","728","728","728","ACMNIIJE_00721","KBJLFPIH_00822","OLBDELFK_04995","FIJMHGMP_05161","AMABMDDH_04737","AKMBOJBH_03008","LNNPAFAO_05050","EOJAOBGC_02054","CPEPOGAB_03309"
"asd2","","Aspartate-semialdehyde dehydrogenase 2","9","9","1","1","1245","","","","1040","1055","1041","ACMNIIJE_05656","KBJLFPIH_02296","OLBDELFK_00253","FIJMHGMP_04867","AMABMDDH_03003","AKMBOJBH_02017","LNNPAFAO_03476","EOJAOBGC_05350","CPEPOGAB_01353"
"group_2341","","hypothetical protein","9","9","1","1","10799","","","","413","413","413","ACMNIIJE_05716","KBJLFPIH_03079","OLBDELFK_03010","FIJMHGMP_01514","AMABMDDH_04154","AKMBOJBH_01147","LNNPAFAO_02733","EOJAOBGC_02653","CPEPOGAB_02901"
"trpC","","Indole-3-glycerol phosphate synthase","9","9","1","1","19128","","","","881","884","882","ACMNIIJE_05729","KBJLFPIH_04252","OLBDELFK_00287","FIJMHGMP_04271","AMABMDDH_03036","AKMBOJBH_02050","LNNPAFAO_03507","EOJAOBGC_04306","CPEPOGAB_00913"
"group_2344","","hypothetical protein","9","9","1","1","19129","","","","263","263","263","ACMNIIJE_05730","KBJLFPIH_04251","OLBDELFK_00288","FIJMHGMP_04272","AMABMDDH_03037","AKMBOJBH_02051","LNNPAFAO_03508","EOJAOBGC_04305","CPEPOGAB_00914"
"group_235","","hypothetical protein","9","9","1","1","13545","","","","518","1103","1028","ACMNIIJE_00824","KBJLFPIH_02961","OLBDELFK_00770","FIJMHGMP_03420","AMABMDDH_02682","AKMBOJBH_00261","LNNPAFAO_05549","EOJAOBGC_02600","CPEPOGAB_04668"
"nit1","","Deaminated glutathione amidase","9","9","1","1","5991","","","","812","815","812","ACMNIIJE_01079","KBJLFPIH_00399","OLBDELFK_02230","FIJMHGMP_03244","AMABMDDH_02580","AKMBOJBH_00604","LNNPAFAO_02162","EOJAOBGC_04757","CPEPOGAB_00234"
"ilvD","","Dihydroxy-acid dehydratase","9","9","1","1","17815","","","","1682","1709","1685","ACMNIIJE_02990","KBJLFPIH_01155","OLBDELFK_01520","FIJMHGMP_02437","AMABMDDH_01864","AKMBOJBH_01873","LNNPAFAO_05527","EOJAOBGC_05547","CPEPOGAB_00746"
"rfaQ","","Lipopolysaccharide core heptosyltransferase RfaQ","9","9","1","1","18502","","","","971","974","973","ACMNIIJE_04770","KBJLFPIH_01363","OLBDELFK_04359","FIJMHGMP_00753","AMABMDDH_01702","AKMBOJBH_04440","LNNPAFAO_05311","EOJAOBGC_02809","CPEPOGAB_01414"
"group_237","","Beta-monoglucosyldiacylglycerol synthase","9","9","1","1","13538","","","","1421","1421","1421","ACMNIIJE_00826","KBJLFPIH_02959","OLBDELFK_00773","FIJMHGMP_03422","AMABMDDH_02680","AKMBOJBH_00263","LNNPAFAO_03115","EOJAOBGC_02602","CPEPOGAB_04672"
"group_2377","","hypothetical protein","9","9","1","1","8294","","","","1187","1193","1189","ACMNIIJE_00700","KBJLFPIH_02096","OLBDELFK_04295","FIJMHGMP_05118","AMABMDDH_03596","AKMBOJBH_02949","LNNPAFAO_01615","EOJAOBGC_00434","CPEPOGAB_03465"
"speA_2","","Biosynthetic arginine decarboxylase","9","9","1","1","15036","","","","2033","2036","2034","ACMNIIJE_03273","KBJLFPIH_03004","OLBDELFK_03488","FIJMHGMP_01149","AMABMDDH_00611","AKMBOJBH_02494","LNNPAFAO_03740","EOJAOBGC_03817","CPEPOGAB_01954"
"group_2408","","hypothetical protein","9","9","1","1","777","","","","1847","1853","1850","ACMNIIJE_01223","KBJLFPIH_04166","OLBDELFK_04244","FIJMHGMP_04586","AMABMDDH_03796","AKMBOJBH_01011","LNNPAFAO_01776","EOJAOBGC_02296","CPEPOGAB_02709"
"glgP_2","","Glycogen phosphorylase","9","9","1","1","19172","","","","2213","2348","2274","ACMNIIJE_04602","KBJLFPIH_04234","OLBDELFK_00309","FIJMHGMP_04296","AMABMDDH_05209","AKMBOJBH_02072","LNNPAFAO_03531","EOJAOBGC_04282","CPEPOGAB_00936"
"rnz","","Ribonuclease Z","9","9","1","1","18910","","","","959","977","969","ACMNIIJE_01686","KBJLFPIH_04545","OLBDELFK_00074","FIJMHGMP_00630","AMABMDDH_00260","AKMBOJBH_02255","LNNPAFAO_02566","EOJAOBGC_01894","CPEPOGAB_01254"
"cimA","","(R)-citramalate synthase","9","9","1","1","613","","","","1619","1622","1619","ACMNIIJE_00608","KBJLFPIH_04752","OLBDELFK_05288","FIJMHGMP_04428","AMABMDDH_00340","AKMBOJBH_02614","LNNPAFAO_01478","EOJAOBGC_00288","CPEPOGAB_03621"
"hinT","","Purine nucleoside phosphoramidase","9","9","1","1","5827","","","","341","377","365","ACMNIIJE_01001","KBJLFPIH_00316","OLBDELFK_02153","FIJMHGMP_03166","AMABMDDH_02495","AKMBOJBH_00518","LNNPAFAO_04252","EOJAOBGC_04443","CPEPOGAB_00315"
"malQ_1","","4-alpha-glucanotransferase","9","9","1","1","5918","","","","1505","1583","1522","ACMNIIJE_01039","KBJLFPIH_00357","OLBDELFK_02190","FIJMHGMP_03202","AMABMDDH_02536","AKMBOJBH_00558","LNNPAFAO_04209","EOJAOBGC_04484","CPEPOGAB_00275"
"metG","","Methionine--tRNA ligase","9","9","1","1","5950","","","","1607","1691","1681","ACMNIIJE_01051","KBJLFPIH_00371","OLBDELFK_02202","FIJMHGMP_03217","AMABMDDH_02551","AKMBOJBH_00574","LNNPAFAO_04194","EOJAOBGC_04727","CPEPOGAB_00262"
"yjiA_2","","P-loop guanosine triphosphatase YjiA","9","9","1","1","10888","","","","1040","1040","1040","ACMNIIJE_01103","KBJLFPIH_03830","OLBDELFK_02523","FIJMHGMP_05039","AMABMDDH_04169","AKMBOJBH_01127","LNNPAFAO_01667","EOJAOBGC_05264","CPEPOGAB_02866"
"outO","","Type 4 prepilin-like proteins leader peptide-processing enzyme","9","9","1","1","4828","","","","824","836","833","ACMNIIJE_01139","KBJLFPIH_03864","OLBDELFK_02483","FIJMHGMP_04996","AMABMDDH_01648","AKMBOJBH_01095","LNNPAFAO_01697","EOJAOBGC_02218","CPEPOGAB_02802"
"rpsA_1","","30S ribosomal protein S1","9","9","1","1","997","","","","902","1010","944","ACMNIIJE_01260","KBJLFPIH_05058","OLBDELFK_04281","FIJMHGMP_04186","AMABMDDH_04129","AKMBOJBH_00980","LNNPAFAO_01807","EOJAOBGC_02331","CPEPOGAB_02669"
"group_253","","hypothetical protein","9","9","1","1","15438","","","","1307","1310","1307","ACMNIIJE_01297","KBJLFPIH_04108","OLBDELFK_01993","FIJMHGMP_02907","AMABMDDH_03198","AKMBOJBH_03503","LNNPAFAO_02905","EOJAOBGC_01210","CPEPOGAB_05145"
"bepA_4","","Beta-barrel assembly-enhancing protease","9","9","1","1","17902","","","","863","863","863","ACMNIIJE_01311","KBJLFPIH_04094","OLBDELFK_02007","FIJMHGMP_02920","AMABMDDH_03666","AKMBOJBH_02839","LNNPAFAO_04664","EOJAOBGC_03897","CPEPOGAB_05128"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase","9","9","1","1","18114","","","","722","851","779","ACMNIIJE_01393","KBJLFPIH_03593","OLBDELFK_03562","FIJMHGMP_02541","AMABMDDH_01202","AKMBOJBH_00891","LNNPAFAO_01255","EOJAOBGC_01119","CPEPOGAB_05933"
"group_259","","hypothetical protein","9","9","1","1","8010","","","","284","284","284","ACMNIIJE_01511","KBJLFPIH_00532","OLBDELFK_04055","FIJMHGMP_04101","AMABMDDH_01922","AKMBOJBH_00736","LNNPAFAO_02027","EOJAOBGC_04556","CPEPOGAB_00074"
"group_260","","Zinc-type alcohol dehydrogenase-like protein","9","9","1","1","8187","","","","1007","1007","1007","ACMNIIJE_01545","KBJLFPIH_03492","OLBDELFK_04025","FIJMHGMP_02658","AMABMDDH_01089","AKMBOJBH_00770","LNNPAFAO_01142","EOJAOBGC_03018","CPEPOGAB_00033"
"group_261","","hypothetical protein","9","9","1","1","10240","","","","401","1466","1333","ACMNIIJE_01618","KBJLFPIH_00947","OLBDELFK_02596","FIJMHGMP_03332","AMABMDDH_03264","AKMBOJBH_03718","LNNPAFAO_00512","EOJAOBGC_00134","CPEPOGAB_02998"
"yhhW","","Quercetin 2,3-dioxygenase","9","9","1","1","10301","","","","698","848","716","ACMNIIJE_01634","KBJLFPIH_03250","OLBDELFK_04783","FIJMHGMP_03323","AMABMDDH_03278","AKMBOJBH_03732","LNNPAFAO_00498","EOJAOBGC_00148","CPEPOGAB_03008"
"group_263","","hypothetical protein","9","9","1","1","11110","","","","1793","1793","1793","ACMNIIJE_01646","KBJLFPIH_03225","OLBDELFK_04795","FIJMHGMP_03308","AMABMDDH_04286","AKMBOJBH_05379","LNNPAFAO_00476","EOJAOBGC_00168","CPEPOGAB_03018"
"group_264","","hypothetical protein","9","9","1","1","10348","","","","932","932","932","ACMNIIJE_01649","KBJLFPIH_03222","OLBDELFK_04798","FIJMHGMP_03305","AMABMDDH_03229","AKMBOJBH_03683","LNNPAFAO_00547","EOJAOBGC_00099","CPEPOGAB_03057"
"sepF","","Cell division protein SepF","9","9","1","1","2756","","","","605","644","618","ACMNIIJE_00015","KBJLFPIH_00063","OLBDELFK_01782","FIJMHGMP_00148","AMABMDDH_00438","AKMBOJBH_00165","LNNPAFAO_04573","EOJAOBGC_02513","CPEPOGAB_04562"
"group_2677","","hypothetical protein","9","9","1","1","2652","","","","167","167","167","ACMNIIJE_00051","KBJLFPIH_00100","OLBDELFK_01744","FIJMHGMP_00113","AMABMDDH_00475","AKMBOJBH_00131","LNNPAFAO_00935","EOJAOBGC_03383","CPEPOGAB_04896"
"group_268","","hypothetical protein","9","9","1","1","19069","","","","398","398","398","ACMNIIJE_01747","KBJLFPIH_04306","OLBDELFK_00015","FIJMHGMP_00692","AMABMDDH_00324","AKMBOJBH_02201","LNNPAFAO_02503","EOJAOBGC_01945","CPEPOGAB_00878"
"ligA_2","","DNA ligase","9","9","1","1","18556","","","","2030","2042","2034","ACMNIIJE_01781","KBJLFPIH_04280","OLBDELFK_04390","FIJMHGMP_00723","AMABMDDH_01669","AKMBOJBH_04409","LNNPAFAO_02479","EOJAOBGC_02778","CPEPOGAB_01381"
"deoC2","","Deoxyribose-phosphate aldolase 2","9","9","1","1","3218","","","","692","692","692","ACMNIIJE_00135","KBJLFPIH_00180","OLBDELFK_01652","FIJMHGMP_00040","AMABMDDH_00562","AKMBOJBH_00040","LNNPAFAO_01025","EOJAOBGC_04066","CPEPOGAB_04889"
"larB","","Pyridinium-3,5-biscarboxylic acid mononucleotide synthase","9","9","1","1","3213","","","","782","788","786","ACMNIIJE_00140","KBJLFPIH_00186","OLBDELFK_01647","FIJMHGMP_00035","AMABMDDH_00567","AKMBOJBH_00035","LNNPAFAO_01030","EOJAOBGC_04071","CPEPOGAB_04883"
"soj_1","","Sporulation initiation inhibitor protein Soj","9","9","1","1","3206","","","","938","938","938","ACMNIIJE_00144","KBJLFPIH_00189","OLBDELFK_01643","FIJMHGMP_00030","AMABMDDH_00571","AKMBOJBH_00031","LNNPAFAO_01034","EOJAOBGC_04075","CPEPOGAB_04867"
"group_2707","","hypothetical protein","9","9","1","1","3181","","","","455","455","455","ACMNIIJE_00159","KBJLFPIH_00201","OLBDELFK_01629","FIJMHGMP_00016","AMABMDDH_00589","AKMBOJBH_00014","LNNPAFAO_01047","EOJAOBGC_04091","CPEPOGAB_04841"
"group_2713","","hypothetical protein","9","9","1","1","3133","","","","701","701","701","ACMNIIJE_00178","KBJLFPIH_00220","OLBDELFK_01609","FIJMHGMP_05234","AMABMDDH_04221","AKMBOJBH_03412","LNNPAFAO_01088","EOJAOBGC_04857","CPEPOGAB_04313"
"pyrH","","Uridylate kinase","9","9","1","1","3122","","","","728","728","728","ACMNIIJE_00184","KBJLFPIH_00226","OLBDELFK_01027","FIJMHGMP_05228","AMABMDDH_04228","AKMBOJBH_03419","LNNPAFAO_01081","EOJAOBGC_04115","CPEPOGAB_04319"
"group_272","","hypothetical protein","9","9","1","1","8579","","","","224","224","224","ACMNIIJE_01843","KBJLFPIH_04957","OLBDELFK_04105","FIJMHGMP_01054","AMABMDDH_02103","AKMBOJBH_03893","LNNPAFAO_03032","EOJAOBGC_04387","CPEPOGAB_02055"
"ppiB","","Peptidyl-prolyl cis-trans isomerase B","9","9","1","1","16639","","","","422","422","422","ACMNIIJE_00209","KBJLFPIH_01788","OLBDELFK_01002","FIJMHGMP_03818","AMABMDDH_01413","AKMBOJBH_02747","LNNPAFAO_04465","EOJAOBGC_03216","CPEPOGAB_04051"
"group_2729","","hypothetical protein","9","9","1","1","16656","","","","548","548","548","ACMNIIJE_00223","KBJLFPIH_01801","OLBDELFK_00988","FIJMHGMP_03805","AMABMDDH_01428","AKMBOJBH_02733","LNNPAFAO_04479","EOJAOBGC_03231","CPEPOGAB_04038"
"dnaE2_2","","Error-prone DNA polymerase","9","9","1","1","8512","","","","3761","5357","4181","ACMNIIJE_01855","KBJLFPIH_03703","OLBDELFK_04093","FIJMHGMP_01067","AMABMDDH_02088","AKMBOJBH_03878","LNNPAFAO_04874","EOJAOBGC_04777","CPEPOGAB_02033"
"tldD_2","","Metalloprotease TldD","9","9","1","1","8543","","","","1307","1406","1329","ACMNIIJE_01863","KBJLFPIH_03711","OLBDELFK_04083","FIJMHGMP_01076","AMABMDDH_02078","AKMBOJBH_03868","LNNPAFAO_04884","EOJAOBGC_04787","CPEPOGAB_02022"
"hepT","","Heptaprenyl diphosphate synthase component 2","9","9","1","1","16702","","","","971","971","971","ACMNIIJE_00253","KBJLFPIH_03548","OLBDELFK_00956","FIJMHGMP_03771","AMABMDDH_01456","AKMBOJBH_02705","LNNPAFAO_05616","EOJAOBGC_03259","CPEPOGAB_04129"
"group_276","","hypothetical protein","9","9","1","1","2376","","","","971","1148","1015","ACMNIIJE_02063","KBJLFPIH_01001","OLBDELFK_03792","FIJMHGMP_01879","AMABMDDH_03643","AKMBOJBH_02863","LNNPAFAO_04327","EOJAOBGC_00702","CPEPOGAB_05432"
"htpX_3","","Protease HtpX ","9","9","1","1","2343","","","","878","1145","1015","ACMNIIJE_02076","KBJLFPIH_01011","OLBDELFK_03779","FIJMHGMP_01867","AMABMDDH_03633","AKMBOJBH_02874","LNNPAFAO_04316","EOJAOBGC_00692","CPEPOGAB_05420"
"group_278","","hypothetical protein","9","9","1","1","19469","","","","1289","1325","1305","ACMNIIJE_02137","KBJLFPIH_01336","OLBDELFK_03205","FIJMHGMP_00856","AMABMDDH_03853","AKMBOJBH_02134","LNNPAFAO_02700","EOJAOBGC_01773","CPEPOGAB_01561"
"crhR","","RNA helicase CrhR","9","9","1","1","11559","","","","1454","1466","1462","ACMNIIJE_00491","KBJLFPIH_00723","OLBDELFK_03318","FIJMHGMP_02094","AMABMDDH_01023","AKMBOJBH_04468","LNNPAFAO_00238","EOJAOBGC_00716","CPEPOGAB_00559"
"rimO","","Ribosomal protein S12 methylthiotransferase RimO","9","9","1","1","11554","","","","1355","1355","1355","ACMNIIJE_00492","KBJLFPIH_00722","OLBDELFK_03319","FIJMHGMP_02093","AMABMDDH_01022","AKMBOJBH_04469","LNNPAFAO_00239","EOJAOBGC_00715","CPEPOGAB_00558"
"group_2787","","hypothetical protein","9","9","1","1","11551","","","","668","668","668","ACMNIIJE_00498","KBJLFPIH_00716","OLBDELFK_03325","FIJMHGMP_02087","AMABMDDH_01015","AKMBOJBH_04475","LNNPAFAO_00245","EOJAOBGC_00709","CPEPOGAB_00552"
